Weeks,Tick,Weekly_rate
22,bitcoin-cash,3.787255063395345
23,bitcoin-cash,9.033321023776386
24,bitcoin-cash,-10.152199148716612
25,bitcoin-cash,-1.5199476432797732
26,bitcoin-cash,-6.16838848392679
27,bitcoin-cash,-11.290909304263142
28,bitcoin-cash,-22.232701235200935
29,bitcoin-cash,3.0798871660613347
30,bitcoin-cash,-0.944216182048041
31,bitcoin-cash,-14.149000810153932
32,bitcoin-cash,-18.008693289866883
33,bitcoin-cash,-21.708806574967177
34,bitcoin-cash,8.671799462846908
35,bitcoin-cash,15.862266062752761
36,bitcoin-cash,52.645538444883485
37,bitcoin-cash,15.296322323729195
38,bitcoin-cash,-10.918642831083558
39,bitcoin-cash,-29.04306220095694
40,bitcoin-cash,7.333277179978515
41,bitcoin-cash,-2.8729633274681143
42,bitcoin-cash,-16.00780868716448
43,bitcoin-cash,6.864330788505546
44,bitcoin-cash,-18.092162512327658
45,bitcoin-cash,23.45404076957951
46,bitcoin-cash,3.1127701375245564
47,bitcoin-cash,-26.86245494679578
48,bitcoin-cash,-21.072574454264505
49,bitcoin-cash,-34.09948273743246
50,bitcoin-cash,-5.944772396964105
1,maker,25.681737693306594
2,maker,-0.8213252272528004
3,maker,-11.782524271844663
4,maker,6.571157944589179
5,maker,-34.90299885061475
6,maker,-14.163311811621726
7,maker,4.929272169682575
8,maker,0.0867316618750058
9,maker,-6.090563120651704
10,maker,4.660272652375985
11,maker,1.8032322978241533
12,maker,23.399800800861836
13,maker,3.674152662130137
14,maker,1.9634236910508696
15,maker,17.74658335473194
16,maker,-19.920171179326807
17,maker,0.8810672980602785
18,maker,1.4415868988582714
19,maker,-5.79068345247885
20,maker,-13.513365768326679
21,maker,-11.46990482859599
22,maker,4.2874590216622765
23,maker,8.326756116811351
24,maker,-2.1377921736846606
25,maker,3.217057183756511
26,maker,-3.003461237857752
27,maker,-5.311533203827635
28,maker,-26.552777174399132
29,maker,-0.36564463911635814
30,maker,1.961588860504837
31,maker,-12.69061657399223
32,maker,-3.2756654195047585
33,maker,-17.479083303019273
34,maker,7.437465362902862
35,maker,9.683278840120213
36,maker,26.902158754950634
37,maker,36.44638915476725
38,maker,-6.4534827552893415
39,maker,-25.42978278545708
40,maker,6.607716799203267
41,maker,-10.727521702533949
42,maker,-17.74507854444223
43,maker,2.9653668678058853
44,maker,-12.060206638519889
45,maker,7.500963228176993
46,maker,-9.81721041826411
47,maker,-20.255713978151114
48,maker,-12.8879001769032
49,maker,9.646589224098555
50,maker,9.119894814693064
